City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
villa carlos paz,-31.42,-64.5,71.6,73,0,5.82
tasiilaq,65.61,-37.64,28.4,74,0,4.7
myingyan,21.46,95.39,75.2,53,40,5.82
bibiani,6.45,-2.31,77.53,80,12,10.16
tumkur,13.34,77.1,68,88,0,2.24
fortuna foothills,32.66,-114.41,64.4,22,1,5.82
san sebastian huehuetenango,15.39,-91.62,51.84,69,0,1.61
khatanga,71.98,102.47,-15.26,46,36,2.89
vinh,18.67,105.69,69.57,99,80,4.41
northam,-31.65,116.67,78.8,54,40,6.93
hovd,48.01,91.64,5.04,51,12,5.75
baykit,61.68,96.39,-9.46,65,48,5.08
xihe,34.02,105.29,27.94,82,68,8.32
whitehorse,60.72,-135.06,15.8,72,90,11.41
khatanga,71.98,102.47,-15.26,46,36,2.89
la peca,-5.61,-78.44,65.83,100,92,1.77
ust-ilimsk,57.96,102.73,0.72,72,64,5.53
shelburne,44.08,-80.2,19.4,100,1,6.64
xining,36.62,101.77,26.82,67,88,3.85
qasigiannguit,68.82,-51.19,-0.41,77,76,3.36
tenali,16.24,80.65,75.2,78,40,4.56
vanavara,60.35,102.28,-6.85,73,48,4.85
kampene,-3.59,26.67,70.02,98,0,2.06
clyde river,70.47,-68.59,-34.61,59,1,8.05
kiruna,67.86,20.23,-4.01,83,36,3.36
kutum,14.2,24.66,60.66,55,0,9.6
tyukhtet,56.54,89.31,3.19,74,88,10.11
sapele,5.89,5.68,78.79,90,0,5.91
novichikha,52.2,81.39,4.09,81,64,5.75
longyearbyen,78.22,15.64,8.6,65,0,3.36
qaanaaq,77.48,-69.36,-7.3,89,20,2.1
san ramon,-13.27,-64.62,74.25,93,0,2.84
riyadh,24.63,46.72,66.2,29,0,11.41
zabol,31.03,61.49,51.8,34,0,18.34
voyvozh,62.89,54.96,10.89,79,76,7.43
nizwa,22.93,57.53,51.61,73,0,2.33
sanmenxia,34.77,111.19,36.49,86,92,3.4
meridian,32.36,-88.7,55.4,87,90,9.17
vista hermosa,17.8,-97.76,56.7,68,0,4.85
tasiilaq,65.61,-37.64,28.4,74,0,4.7
isangel,-19.55,169.27,82.48,96,76,17.43
khatanga,71.98,102.47,-15.26,46,36,2.89
amboise,47.41,0.98,42.8,93,92,2.24
gorey,52.67,-6.29,43.24,100,0,16.64
say,13.1,2.36,77,10,0,10.29
lumby,50.25,-118.97,28.4,79,20,6.93
norman wells,65.28,-126.83,10.4,72,40,17.22
gulmarg,34.05,74.39,28.57,93,12,1.05
awjilah,29.14,21.3,45.81,82,0,7.58
nanortalik,60.14,-45.24,22.05,100,68,25.7
marawi,18.48,31.82,62.82,73,8,5.75
marawi,18.48,31.82,62.82,73,8,5.75
loreto,22.27,-101.99,54.81,40,0,7.65
dasoguz,41.84,59.97,19.4,67,0,9.17
chimoio,-19.11,33.48,69.8,100,75,3.11
magdiwang,12.49,122.51,87.8,66,75,4.7
tasiilaq,65.61,-37.64,28.4,74,0,4.7
talaya,55.79,84.89,-0.73,79,68,6.76
west plains,36.73,-91.85,39.2,69,1,3.36
horodnytsya,50.81,27.32,28.84,93,88,9.33
khatanga,71.98,102.47,-15.26,46,36,2.89
bozoum,6.31,16.38,74.74,37,0,10.67
vilhena,-12.74,-60.15,71.86,95,12,1.99
mocajuba,-2.58,-49.5,76.18,93,92,2.21
nogliki,51.8,143.14,8.37,100,12,12.8
kharan,28.58,65.42,49.14,81,0,2.62
thompson,55.74,-97.86,-0.41,64,75,8.05
iqaluit,63.75,-68.52,-9.41,39,90,11.41
porosozero,62.72,32.71,13.27,88,76,2.62
nagai,38.14,139.98,32,84,75,6.93
palaikastron,35.2,26.25,59.08,100,80,20.67
calabozo,8.92,-67.43,78.66,56,12,15.48
campbell river,50.02,-125.24,41,93,90,1.83
dalbandin,28.9,64.41,50.98,72,8,2.51
naifaru,5.44,73.37,82.62,98,48,11.39
bulgan,48.81,103.53,11.52,66,76,6.8
yellowknife,62.45,-114.38,1.4,70,90,21.92
qaanaaq,77.48,-69.36,-7.3,89,20,2.1
upernavik,72.79,-56.15,-4.87,100,44,2.51
san pedro,-17.27,-66.8,59,87,90,14.99
kirgiz-miyaki,53.63,54.8,1.8,79,36,1.54
curaca,-8.99,-39.91,73.21,89,76,9.15
komsomolskiy,67.55,63.78,16.02,88,88,15.7
tazovskiy,67.47,78.7,5.44,85,92,8.37
smithers,54.78,-127.17,19.4,92,90,3.36
longyearbyen,78.22,15.64,8.6,65,0,3.36
matagami,49.76,-77.63,-13.01,83,1,4.7
bom jesus,-5.99,-35.58,78.8,88,75,8.05
santiago del estero,-27.8,-64.26,72.04,89,64,9.89
toamasina,-18.17,49.38,77,94,40,2.1
casino,-28.86,153.05,74.83,90,80,6.13
akim swedru,5.89,-1.02,75.6,84,0,6.24
narok,-1.09,35.87,53.82,86,0,6.42
norman wells,65.28,-126.83,10.4,72,40,17.22
aykhal,65.95,111.51,-15.89,66,56,4
geraldton,49.72,-86.95,3.2,65,90,4.7
awjilah,29.14,21.3,45.81,82,0,7.58
san carlos de bariloche,-41.13,-71.31,60.8,67,0,4.7
kidal,18.44,1.41,55.71,52,24,4.23
tasiilaq,65.61,-37.64,28.4,74,0,4.7
oudtshoorn,-33.59,22.2,62.6,100,90,6.93
manasa,24.48,75.27,59.94,68,0,2.84
conceicao do araguaia,-8.26,-49.26,75.24,91,0,4
abu dhabi,24.47,54.37,66.2,72,0,2.24
jiangyin,31.91,120.26,47.97,63,0,13.29
ust-nera,64.57,143.24,-16.48,64,12,2.55
bethanien,-26.5,17.16,61.47,52,0,5.01
evensk,61.92,159.24,23.44,97,80,12.39
thompson,55.74,-97.86,-0.41,64,75,8.05
kysyl-syr,63.9,122.77,-9.82,69,56,3.74
nusaybin,37.08,41.21,51.8,81,90,13.87
upernavik,72.79,-56.15,-4.87,100,44,2.51
ituporanga,-27.41,-49.6,59.98,98,92,7.09
leningradskiy,69.38,178.42,25.24,95,68,17.38
ambanja,-13.68,48.45,77,100,75,2.33
northam,-31.65,116.67,78.8,54,40,6.93
tafresh,34.69,50.01,34.87,100,80,2.84
jalu,29.03,21.55,46.12,80,0,7.81
boguchany,58.38,97.46,1.39,70,64,6.91
clyde river,70.47,-68.59,-34.61,59,1,8.05
tromso,69.65,18.96,15.8,85,0,2.24
santa rosa,-36.62,-64.29,85.5,46,20,15.64
kysyl-syr,63.9,122.77,-9.82,69,56,3.74
kodiak,39.95,-94.76,23,62,1,8.93
